clock,xxx,src,dest
55.0,Animation,JFK,IST
55.0,Animation,KUL,MIA
55.0,Animation,MSP,CDG
55.0,Animation,AMS,BOS
55.0,Animation,ATL,YYZ
55.0,Animation,AYT,GRU
55.0,Animation,BOM,DEN
55.0,Animation,BOS,MAD
55.0,Animation,CAN,MIA
55.0,Animation,CDG,SEA
55.0,Animation,CLT,BOS
55.0,Animation,CTU,SZX
55.0,Animation,DEL,DXB
55.0,Animation,DEN,DXB
55.0,Animation,EWR,MEX
55.0,Animation,GRU,MEX
55.0,Animation,HKG,JFK
55.0,Animation,IAH,PHL
55.0,Animation,IST,MIA
55.0,Animation,JFK,ATL
55.0,Animation,KUL,SYD
55.0,Animation,LAS,YYZ
55.0,Animation,LAX,BOS
55.0,Animation,MCO,NRT
55.0,Animation,MEL,LAX
55.0,Animation,MEX,TPE
55.0,Animation,MIA,PVG
55.0,Animation,MSP,NRT
55.0,Animation,MUC,MAD
55.0,Animation,NRT,TPE
55.0,Animation,ORD,PVG
55.0,Animation,SFO,SHA
55.0,Animation,SHA,ORY
55.0,Animation,SIN,AMS
55.0,Animation,SYD,SHA
55.0,Animation,YYZ,SIN
55.0,Animation,ZRH,PEK
55.0,Animation,AMS,MAD
55.0,Animation,ATL,HKG
55.0,Animation,AYT,SIN
55.0,Animation,BOS,SFO
55.0,Animation,CAN,BOM
55.0,Animation,CDG,CLT
55.0,Animation,CGK,AMS
55.0,Animation,CLT,PVG
55.0,Animation,CTU,ORY
55.0,Animation,DEL,KUL
55.0,Animation,DEN,SIN
55.0,Animation,DFW,JFK
55.0,Animation,DTW,CAN
55.0,Animation,DXB,PEK
55.0,Animation,FRA,DTW
55.0,Animation,GRU,PVG
55.0,Animation,HKG,MEX
55.0,Animation,IAH,ORY
55.0,Animation,IST,LAX
55.0,Animation,LAS,DXB
55.0,Animation,LAX,PVG
55.0,Animation,LHR,FRA
55.0,Animation,MAD,CTU
55.0,Animation,MCO,DTW
55.0,Animation,MEL,BOS
55.0,Animation,MEX,MIA
55.0,Animation,MIA,IST
55.0,Animation,MUC,MCO
55.0,Animation,NRT,CAN
55.0,Animation,ORD,TPE
55.0,Animation,PHL,IAH
55.0,Animation,PHX,CTU
55.0,Animation,PVG,FCO
55.0,Animation,SEA,CAN
55.0,Animation,SFO,MSP
55.0,Animation,SHA,LAS
55.0,Animation,SIN,MCO
55.0,Animation,SYD,IAH
55.0,Animation,SZX,TPE
55.0,Animation,TPE,PHL
55.0,Animation,YYZ,MUC
55.0,Animation,ZRH,JFK
55.0,Animation,DFW,DEN
55.0,Animation,DXB,MIA
55.0,Animation,FCO,AMS
55.0,Animation,FRA,SYD
55.0,Animation,ORY,DEN
55.0,Animation,PEK,CDG
55.0,Animation,PHL,HKG
55.0,Animation,PHX,EWR
